Title,Listing,Price,Reg_year,Mileage,Fuel,Body_type,Location,Transmission,No_of_seats,Cylinders,No_of_owners
Ford Focus TITANIUM X TDCI 1.5 5dr,"Parking Camera, Bluetooth",9600,2016.0,41355,Diesel,Estate,waltham cross,Manual,5,1.5L,
Volvo S40 1.6 TD S 4dr,STARTS & DRIVES,489,2006.0,141000,Diesel,Saloon, bedford,Manual,5,1.6L,5 owners
Renault Clio dCi 106 Dynamique 1.5 3dr,PART EXCHANGE CLEARANCE,495,2006.0,189607,Diesel,Hatchback, west bromwich,Manual,5,1.5L,6 owners
Renault Clio 1.4 RT 5dr,Great condition for age,350,1996.0,99875,Petrol,Hatchback, woking,Manual,0,1.4L,2 owners
MINI Hatch Cooper S 1.6 3dr,"CHILLI PACK"" 4.5K EXTRAS",2700,2006.0,97380,Petrol,Hatchback, slough,Manual,4,1.6L,
Mazda RX-8 1.3 4dr,"Well maintained, Great MOT's!",995,2006.0,67600,Petrol,Coupe, romsey,Manual,4,1.3L,
Vauxhall Zafira 1.6 i 16v Club 5dr,CHEAP Vauxhall Zafira,500,2007.0,156700,Petrol,MPV, uxbridge,Manual,7,1.6L,
Jaguar X-Type 2.0 D S 4dr,FULL ARDEN BODYKIT - F.S.H,1475,2005.0,95000,Diesel,Saloon, birmingham,Manual,5,2.0L,2 owners
Peugeot 407 2.0 HDi Sport 4dr,"ABSOLUTELY STUNNING, NEW TYRES",1250,2006.0,123000,Diesel,Saloon, palmers green,Manual,5,2.0L,
Chevrolet Tacuma Sx 1.6 5dr,LOW MILEAGE RUNAROUND,695,2008.0,35225,Petrol,MPV, watford,Manual,5,1.6L,
Volkswagen Polo 1.2 E 3dr,Perfect run about or first car,1000,2005.0,83000,Petrol,Hatchback, haslemere,Manual,5,1.2L,
Toyota RAV4 VVTI XT5 2.0 5dr,"Leather,Heated Seats,Sat Nav.",3950,2006.0,120000,Petrol,SUV, maidenhead,Automatic,5,2.0L,
BMW 3 Series 320D SPORT 2.0 4dr,"Privacy Glass, Bluetooth",11200,2015.0,47647,Diesel,Saloon, waltham cross,Automatic,5,2.0L,
Audi A4 TDI S LINE 2.0 4dr,"Xenon Headlamps, Privacy Glass",8400,2014.0,73785,Diesel,Saloon,chatham,Manual,5,2.0L,
Citroen C2 1.4 HDi SX 3dr,"£30 road tax, cheap motoring",400,2007.0,93686,Diesel,Hatchback, dunstable,Manual,4,1.4L,
Fiat Panda 1.4 100HP 5d 99 BHP MOT - 13/06/2020,CALL 07977223024 FOR QUESTIONS,1850,2011.0,80730,Petrol,Hatchback, wickford,Manual,4,1.4L,
Ford 1.4 FUSION 1 5d 78 BHP,,995,2003.0,99000,Petrol,Hatchback, loughborough,Manual,5,1.4L,
Jaguar S-Type 3.0 V6 SE 4dr,1 PREVIOUS OWNER FROM NEW S/H ,1595,2003.0,71500,Petrol,Saloon, uxbridge,Automatic,4,3.0L,
Ford S-Max 2.0 TDCi Titanium 5dr,SUSPECTED HEAD GASKET FAILURE,400,2007.0,140000,Diesel,MPV, ashby-de-la-zouch,Manual,7,2.0L,
Honda Accord 1.8 i-VTEC SE Executive Sport 5dr (sun roof),,650,1999.0,101500,Petrol,Hatchback, hayes,Manual,5,1.8L,4 owners
Suzuki Swift 1.3 GL 3dr,,795,,101000,,, hemel hempstead,,4,,
